name,popularity,play_count
Memories Of You (feat. Charlie Christian),16,172227
Mother's Children Have a Hard Time,16,230693
Bye and Bye I'm Goin' to See the King,16,230822
The Glow Worm,15,173445
Your Love Is Like a Flower,15,97453
The Last Time I Saw Paris,15,39176
The Duke,15,3491950
Candlelight on Crystal,15,185770
From Four Until Late,14,22500361
Sleigh Ride (with Paula Kelly),14,687330
Hellhound on My Trail,14,665442
"Single Girl, Married Girl",14,278117
Somebody Stole My Gal - Instrumental,14,54392
Carolina In the Morning,13,916959
Cast Your Fate To The Wind,13,808852
I Ain't Marching Anymore - Alternate Version,13,46630
Any Time You Want Love - 2019 - Remaster,13,18353
Ami Chini Go Chini Tomare,13,8618
Crepuscule With Nellie (Takes 4 & 5),12,149611
Springsville - Mono Version,12,144397
Ysabel's Table Dance - 1957/62 Master Takes,12,114439
Sauerkraut Calypso,12,40368
The Maids of Cadiz - Mono Version,12,40368
Rosa Engeitada,11,117999
My Fair Lady: I'm an Ordinary Man,11,113468
A Lovely Way To Spend An Evening,11,96333
Gidget Goes Hawaiian,11,58451
Don't Take Your Love From Me - 2002 Remaster,11,55538
The Night They Invented Champagne,11,34869
White Christmas Medley: Winter Wonderland/Silver Bells/White Christmas,11,33244
Ride On King Jesus,11,29829
Molly and Tenbrooks (The Race Horse Song),10,115129
Cherry Pies Ought to Be You (with Rosemary Clooney),10,88557
Easy to Love / I've Got You Under My Skin,10,68997
In a Little Spanish Town,10,38198
It's a Sin to Tell a Lie (with Teddy Wilson & His Orchestra) - Take 3,10,33940
I've Got The Sun In The Morning,10,26392
Pal Bhar Mein Yeh Kya Ho Gaya,10,25651
Ana Fe Entezarak,10,13106
Robaaeyat El Khayam,10,10818
Step Lightly (Junior's Arrival),9,246735
"Goldberg Variations, BWV 988: Variation 13 a 2 Clav. - 1955 Version",9,151134
I've Grown Accustomed to Her Face - Mono Version,9,87742
Tiny's Tempo - Short Take 1 / Short Take 2,9,32212
"My Old Flame - Live At Masonic Temple, Ann Arbor, MI.,1954",9,20204
Davenport Blues - 2014 Remastered Version,9,15379
The Shining Birch Tree,9,12317
Loveless Love (with Benny Carter & His All Star Orchestra) - Take 2,8,110873
Breakfast Feud (feat. Benny Goodman & Charlie Christian),8,88492
On the Alamo (feat. Benny Goodman & Charlie Christian),8,48934
Come Back To Me In My Dreams,8,24525
Siberian Sleighride,8,18120
"Who Do You Love, I Hope?",8,16530
I Got It Bad (and That Ain't Good) - 1995 Remastered,7,142431
Poor Howard / Green Corn,7,59204
You're so Desirable (with Teddy Wilson & His Orchestra) - Take 1,7,53494
Boy Scout In Switzerland,7,22365
Bumpy Weather Over Newark,7,20068
Squaty Roo - Remastered - 1995,7,18144
Indiferencia (Con Alberto Echague),7,16404
War Dance For Wooden Indians,7,15246
Fashion Plate Daddy,7,14978
Kill-It-Kid Rag,7,4911
Kapitel 1 - Der Page und die Herzogin,7,3276
Sugar Foot Strut,7,3191
Se lipame,7,3076
Winter Weather - Mono Recording,6,3313098
Gut Bucket Blues,6,305562
How Deep Is the Ocean?,6,246863
Oriental Strut,6,98812
Cornet Chop Suey,6,62706
Barrelhouse Bessie From Basin Street,6,37671
Wake Up Jacob - 2020 Remaster,6,16993
'Buked and Scorned,5,30466
Gaston's House,5,21872
Concerto To End All Concertos,5,12709
Johnny's Gone To Hilo,5,9409
Wheatleigh Hall,5,8667
"Navajo: Night Chant, Yeibichei",5,2556
Luna Sobre el Condado,5,1652
"Can't Get Out of This Mood - From the Film ""Seven Days Leave""",4,296440
Everything Happens for the Best,4,125056
Ciribiribin (They're So In Love),4,115238
Bad Luck Blues,4,69052
You're Gonna See a Lot of Me (with Teddy Wilson & His Orchestra) - Take 1,4,44103
It's a Sin to Tell a Lie (with Teddy Wilson & His Orchestra) - Take 1,4,33940
Lonely Melody,3,10814
Danny Boy,3,10308
Sugar,3,6451
Dust,3,3742
Goin' Home,2,6902
Every Night About This Time,2,6767
Our Love Affair,2,6001
When Irish Eyes Are Smiling,2,5559
Oh! Look At Me Now,2,5280
Rhumboogie,2,4734
Chizzlin' Sam,2,1901
Gati Hendrakusuma,2,1000
Tedhak Saking,2,1000
Gati Mares,2,1000
O Marenariello,1,8807
Lonesome Shack,1,5176
Back In Your Own Backyard,1,4809
Lovable,1,4441
Red Hot Chicago,1,4419
When,1,3887
My Pet,1,3881
Button Up Your Overcoat,1,2816
Hottentot Potentate - Live,1,2811
The Pearls,1,2532
Love Come And Go,1,2146
Where The River Shannon Flows,1,1865
Molly Brannigan,1,1697
Honey In The Honeycomb,1,1405
Shake Your Ashes - Live,1,1397
Gati Main-main,1,1000
Une Femme Qui Passe,1,1000
Gati Kumencar,1,1000
Lazy Daddy,1,1000
Cheer Up and Smile,1,1000
Jodi Bolo,0,54080
"Nacchite Ye Panaina (From ""Dohchay"")",0,12344
Rapsodie espagnole: PrÃ©lude Ã  la nuit,0,11656
JacÃ´k - Mountain Dancde,0,1481
Sur une Ride du Soleil,0,1075
Sunburst Rag,0,1000
Tomar Bhuban Hote,0,1000
At the Zoo: Lion,0,1000
"Bruch: Violin Concerto No. 1 in G Minor, Op. 26: II. Adagio",0,1000
Mercedes,0,1000
Perry's Victory On Lake Erie,0,1000
Easter Hymn,0,1000
