name,popularity,play_count,revenue_for_plays
"The Theme from ""A Summer Place"" - Single Version",48,16932348,75128.83
Cama de Piedra,48,4120628,18283.23
Blue Monk - Rudy Van Gelder Remaster,48,11357370,50392.65
"Dark Was the Night, Cold Was the Ground",47,7461224,33105.45
The Man I Love,47,5422450,24059.41
Lullaby of Broadway (with Harry James & His Orchestra),47,3839444,17035.61
Ahmad's Blues,47,8730968,38739.31
Count Your Blessings Instead Of Sheep,47,1852641,8220.17
Me and the Devil Blues,46,3719377,16502.88
Jackson (with June Carter Cash),46,3631458,16112.78
That's Where The South Begins,46,1485444,6590.92
Finale/Hallelujah,46,265735,1179.07
Joy Spring,46,1737365,7708.69
Two Sleepy People,45,1109473,4922.73
Sentimental Journey (with Les Brown & His Orchestra),45,4210650,18682.65
Come On-A My House,45,3473208,15410.62
Winter Wonderland - Single Version,45,4518608,20049.06
"My Woman, My Woman, My Wife",45,2109158,9358.33
Cross Road Blues - Take 1,44,8968050,39791.24
Foolin' Myself (with Teddy Wilson & His Orchestra),44,3012879,13368.14
Chattanooga Choo Choo,44,98628,437.61
Let's Start The New Year Off Right,44,19986162,88678.60
OPM Medley: When I Met You,44,2539993,11269.95
This Year's Kisses (with Teddy Wilson & His Orchestra),43,2639491,11711.42
Faith Of Our Fathers,43,197894,878.06
If You've Got the Money I've Got the Time,43,3102450,13765.57
Shake Hands with Santa Claus - Mono Recording,43,2875888,12760.32
Leap Frog - Take 11 / Take 6 / Master Take,43,1584320,7029.63
Weather Bird,42,3240927,14379.99
It's Nobody's Fault but Mine,42,4293702,19051.16
If You Were Mine (with Teddy Wilson & His Orchestra),42,2709322,12021.26
Miss Brown to You (with Teddy Wilson & His Orchestra),42,2765238,12269.36
Come On In My Kitchen,42,5638143,25016.44
Singin' The Blues,41,4318009,19159.01
Blue Moon of Kentucky,41,1960040,8696.70
Paloma Querida,41,579314,2570.42
I'd Cry Like A Baby,41,2167257,9616.12
Under The Bridges Of Paris,41,2567243,11390.86
I Wished On the Moon (with Teddy Wilson & His Orchestra),40,1725648,7656.70
Can the Circle Be Unbroken,40,2331231,10343.67
Wabash Cannonball,40,521601,2314.34
If I Only Had A Brain - Extended Version,40,2374722,10536.64
Tain't What You Do (It's The Way That You Do It),40,2271069,10076.73
These Foolish Things (Remind Me of You) (with Teddy Wilson & His Orchestra),39,2788410,12372.18
Wildwood Flower,39,1166526,5175.88
All Or Nothing At All,39,1920346,8520.58
Follow The Yellow Brick Road / You're Off To See The Wizard,39,1993264,8844.11
Il cielo in una stanza,39,2423367,10752.48
Why Don't You Do Right? (feat. Peggy Lee),38,2008208,8910.42
"Cabaret (from ""Cabaret"")",38,2741664,12164.76
How High The Moon,38,3009814,13354.54
Embraceable You,38,3243950,14393.41
Con Alma,38,3395876,15067.50
"On the Sunny Side of the Street (From ""Is Everybody Happy?"")",37,1333070,5914.83
I Can't Believe That You're In Love With Me,37,3149257,13973.25
We're Off To See The Wizard - Duo,37,1671265,7415.40
Half As Much (with Percy Faith & His Orchestra),37,1258168,5582.49
Botch-A-Me (Ba-Ba-Baciami Piccina),37,2153061,9553.13
Chorra,36,633475,2810.73
I Can't Give You Anything but Love (with Teddy Wilson & His Orchestra),36,1500321,6656.92
Man Stealer Blues,36,1664299,7384.49
Preachin' Blues (Up Jumped the Devil),36,1216669,5398.36
A Guy Is a Guy,36,1550713,6880.51
What a Little Moonlight Can Do (with Teddy Wilson & His Orchestra),35,6450865,28622.49
Doin' The Uptown Lowdown,35,366403,1625.73
Doin' The Jive,35,763218,3386.40
Love in Vain - Take 1,35,2375021,10537.97
I Believe I'll Dust My Broom,35,1408901,6251.29
When You're Smiling (The Whole World Smiles with You) (with Teddy Wilson & His Orchestra) - Take 3,34,1214564,5389.02
Frenesi,34,2606441,11564.78
Don't Sit Under the Apple Tree (with Anyone Else but Me),34,1683672,7470.45
Got The Bottle Up And Gone,34,1241156,5507.01
O mio babbino caro from Gianni Schicchi,34,1808146,8022.74
Blue Skies - 78rpm Version,33,420434,1865.47
Moonlight Cocktail,33,1310204,5813.38
If I Only Had A Heart - Extended Version,33,1202763,5336.66
Munchkinland Musical Sequence,33,390371,1732.08
"Looky, Looky, Yonder / Black Betty / Yellow Women's Doorbells",33,3217640,14276.67
Ain't Misbehavin',32,654182,2902.61
Georgia On My Mind (with Eddie Heywood & His Orchestra) - Take 1,32,1375463,6102.93
I Cover the Waterfront,32,2393769,10621.15
That's Life I Guess (with Teddy Wilson & His Orchestra) - Take 1,32,484254,2148.63
Sleepy Time Gal,32,309777,1374.48
Little Jack Frost Get Lost (with Marjorie Hughes) - 78rpm Version,31,1109077,4920.97
"Brother, Can You Spare a Dime? (with Lenny Hayton & His Orchestra)",31,936619,4155.78
Ma L'Amore No,31,299877,1330.55
Yankee Doodle Never Went to Town (feat. Billie Holiday) - Take 1,31,702051,3115.00
He Ain't Got Rhythm (with Teddy Wilson & His Orchestra),31,681994,3026.01
Manhattan Serenade,30,284335,1261.59
Let Your Light Shine on Me,30,800980,3553.95
Papa's on the House Top,30,1363295,6048.94
Fita Amarela,30,1277441,5668.01
There's Frost On The Moon,30,632671,2807.16
'Tain't Nobody's Bizness If I Do,29,1013949,4498.89
I'm Gettin' Sentimental Over You,29,573390,2544.13
The Soul of a Man,29,643658,2855.91
Pennies from Heaven (with Teddy Wilson & His Orchestra) - Take 1,29,734251,3257.87
When a Woman Loves a Man,29,695698,3086.81
Honeysuckle Rose,28,997602,4426.36
All My Life - Live,28,679090,3013.12
"If I Knew You Were Comin', I'd've Baked a Cake",28,873345,3875.03
Getting Some Fun Out of Life,28,869582,3858.34
Kind Hearted Woman Blues,28,492416,2184.85
"Empty Bed Blues, Pt. 1",27,1159047,5142.69
I'm Gonna Sit Right Down and Write Myself a Letter,27,2072004,9193.48
Till The Cows Come Home,27,240810,1068.47
Shave 'Em Dry II,27,271868,1206.28
Them There Eyes,27,1516116,6727.01
Send Me to the 'Lectric Chair,26,350592,1555.58
Need a Little Sugar in My Bowl,26,827715,3672.57
I'm Coming Virginia,26,464768,2062.18
Back In Your Own Backyard - Take 2,26,311755,1383.26
A Fine Romance - Take 1,26,511836,2271.02
The Rumba Dance,25,175489,778.64
Things Are Looking Up (with Teddy Wilson & His Orchestra),25,200033,887.55
Your Mother's Son-In-Law (with Benny Goodman & His Orchestra),25,359954,1597.12
