name,popularity,play_count,spotify_revenue,apple_revenue
Hammer Smashed Face,55,13797642,61220.14,101412.67
Let's Get Rocked,55,10992439,48773.45,80794.43
Green Machine,55,14561011,64607.21,107023.43
Come Baby Come,55,16682222,74019.02,122614.33
Milk It,55,14332130,63591.66,105341.16
Freeze-Frame,54,11929959,52933.23,87685.20
Over the Mountain,54,16837136,74706.37,123752.95
Controversy,54,11582194,51390.19,85129.13
All Those Years Ago - Remastered 2004,54,12831465,56933.21,94311.27
Atomic Dog,54,13289441,58965.25,97677.39
Tea for Two,53,831510,3689.41,6111.60
If I Give My Heart to You (with The Mellomen),53,6535042,28995.98,48032.56
Sin Ti - Remasterizado,53,7196010,31928.70,52890.67
Softly As In A Morning Sunrise,53,4993896,22157.92,36705.14
The Christmas Waltz - Remastered,53,13863674,61513.12,101898.00
Mack the Knife,52,42139016,186970.81,309721.77
Gloomy Sunday (with Teddy Wilson & His Orchestra) - Take 1,52,16449593,72986.84,120904.51
Where Did You Sleep Last Night,52,13957165,61927.94,102585.16
I Get A Kick Out Of You,52,11151661,49479.92,81964.71
Double Trouble,52,8698600,38595.69,63934.71
"Sing, Sing, Sing",51,32342942,143505.63,237720.62
Easy Living (with Teddy Wilson & His Orchestra),51,25215331,111880.42,185332.68
In the Mood,51,51855138,230081.25,381135.26
I've Got Plenty To Be Thankful For,51,2820144,12512.98,20728.06
I Can't Quit You Baby,51,23868752,105905.65,175435.33
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),50,305505721,1355528.88,2245467.05
Little Red Rooster,50,5985412,26557.27,43992.78
Mambo Italiano (with The Mellomen) - 78rpm Version,50,10224806,45367.46,75152.32
My Funny Valentine - Remastered,50,11485140,50959.57,84415.78
Hello! Ma Baby,50,2428828,10776.71,17851.89
Ain't Misbehavin',49,5766389,25585.47,42382.96
Cheek to Cheek,49,7758683,34425.28,57026.32
Christmas In Killarney,49,5637509,25013.63,41435.69
"Baby, It's Cold Outside (with Dorothy Kirsten)",49,3693637,16388.67,27148.23
Up On The House Top (Ho Ho Ho) (with Carl Cotner's Orchestra),49,2248798,9977.92,16528.67
The Way You Look Tonight (with Teddy Wilson & His Orchestra) - Take 2,48,7136473,31664.53,52453.08
Come Back To Sorrento,48,4823703,21402.77,35454.22
"The Theme from ""A Summer Place"" - Single Version",48,16932348,75128.83,124452.76
Cama de Piedra,48,4120628,18283.23,30286.62
Blue Monk - Rudy Van Gelder Remaster,48,11357370,50392.65,83476.67
"Dark Was the Night, Cold Was the Ground",47,7461224,33105.45,54840.00
The Man I Love,47,5422450,24059.41,39855.01
Lullaby of Broadway (with Harry James & His Orchestra),47,3839444,17035.61,28219.91
Ahmad's Blues,47,8730968,38739.31,64172.61
Count Your Blessings Instead Of Sheep,47,1852641,8220.17,13616.91
Me and the Devil Blues,46,3719377,16502.88,27337.42
Jackson (with June Carter Cash),46,3631458,16112.78,26691.22
That's Where The South Begins,46,1485444,6590.92,10918.01
Finale/Hallelujah,46,265735,1179.07,1953.15
Joy Spring,46,1737365,7708.69,12769.63
Two Sleepy People,45,1109473,4922.73,8154.63
Sentimental Journey (with Les Brown & His Orchestra),45,4210650,18682.65,30948.28
Come On-A My House,45,3473208,15410.62,25528.08
Winter Wonderland - Single Version,45,4518608,20049.06,33211.77
"My Woman, My Woman, My Wife",45,2109158,9358.33,15502.31
Cross Road Blues - Take 1,44,8968050,39791.24,65915.17
Foolin' Myself (with Teddy Wilson & His Orchestra),44,3012879,13368.14,22144.66
Chattanooga Choo Choo,44,98628,437.61,724.92
Let's Start The New Year Off Right,44,19986162,88678.60,146898.29
OPM Medley: When I Met You,44,2539993,11269.95,18668.95
This Year's Kisses (with Teddy Wilson & His Orchestra),43,2639491,11711.42,19400.26
Faith Of Our Fathers,43,197894,878.06,1454.52
If You've Got the Money I've Got the Time,43,3102450,13765.57,22803.01
Shake Hands with Santa Claus - Mono Recording,43,2875888,12760.32,21137.78
Leap Frog - Take 11 / Take 6 / Master Take,43,1584320,7029.63,11644.75
Weather Bird,42,3240927,14379.99,23820.81
It's Nobody's Fault but Mine,42,4293702,19051.16,31558.71
If You Were Mine (with Teddy Wilson & His Orchestra),42,2709322,12021.26,19913.52
Miss Brown to You (with Teddy Wilson & His Orchestra),42,2765238,12269.36,20324.50
Come On In My Kitchen,42,5638143,25016.44,41440.35
Singin' The Blues,41,4318009,19159.01,31737.37
Blue Moon of Kentucky,41,1960040,8696.70,14406.29
Paloma Querida,41,579314,2570.42,4257.96
I'd Cry Like A Baby,41,2167257,9616.12,15929.34
Under The Bridges Of Paris,41,2567243,11390.86,18869.24
I Wished On the Moon (with Teddy Wilson & His Orchestra),40,1725648,7656.70,12683.51
Can the Circle Be Unbroken,40,2331231,10343.67,17134.55
Wabash Cannonball,40,521601,2314.34,3833.77
If I Only Had A Brain - Extended Version,40,2374722,10536.64,17454.21
Tain't What You Do (It's The Way That You Do It),40,2271069,10076.73,16692.36
These Foolish Things (Remind Me of You) (with Teddy Wilson & His Orchestra),39,2788410,12372.18,20494.81
Wildwood Flower,39,1166526,5175.88,8573.97
All Or Nothing At All,39,1920346,8520.58,14114.54
Follow The Yellow Brick Road / You're Off To See The Wizard,39,1993264,8844.11,14650.49
Il cielo in una stanza,39,2423367,10752.48,17811.75
Why Don't You Do Right? (feat. Peggy Lee),38,2008208,8910.42,14760.33
"Cabaret (from ""Cabaret"")",38,2741664,12164.76,20151.23
How High The Moon,38,3009814,13354.54,22122.13
Embraceable You,38,3243950,14393.41,23843.03
Con Alma,38,3395876,15067.50,24959.69
"On the Sunny Side of the Street (From ""Is Everybody Happy?"")",37,1333070,5914.83,9798.06
I Can't Believe That You're In Love With Me,37,3149257,13973.25,23147.04
We're Off To See The Wizard - Duo,37,1671265,7415.40,12283.80
Half As Much (with Percy Faith & His Orchestra),37,1258168,5582.49,9247.53
Botch-A-Me (Ba-Ba-Baciami Piccina),37,2153061,9553.13,15825.00
Chorra,36,633475,2810.73,4656.04
I Can't Give You Anything but Love (with Teddy Wilson & His Orchestra),36,1500321,6656.92,11027.36
Man Stealer Blues,36,1664299,7384.49,12232.60
Preachin' Blues (Up Jumped the Devil),36,1216669,5398.36,8942.52
A Guy Is a Guy,36,1550713,6880.51,11397.74
What a Little Moonlight Can Do (with Teddy Wilson & His Orchestra),35,6450865,28622.49,47413.86
Doin' The Uptown Lowdown,35,366403,1625.73,2693.06
Doin' The Jive,35,763218,3386.40,5609.65
Love in Vain - Take 1,35,2375021,10537.97,17456.40
I Believe I'll Dust My Broom,35,1408901,6251.29,10355.42
When You're Smiling (The Whole World Smiles with You) (with Teddy Wilson & His Orchestra) - Take 3,34,1214564,5389.02,8927.05
Frenesi,34,2606441,11564.78,19157.34
Don't Sit Under the Apple Tree (with Anyone Else but Me),34,1683672,7470.45,12374.99
Got The Bottle Up And Gone,34,1241156,5507.01,9122.50
O mio babbino caro from Gianni Schicchi,34,1808146,8022.74,13289.87
Blue Skies - 78rpm Version,33,420434,1865.47,3090.19
Moonlight Cocktail,33,1310204,5813.38,9630.00
If I Only Had A Heart - Extended Version,33,1202763,5336.66,8840.31
Munchkinland Musical Sequence,33,390371,1732.08,2869.23
"Looky, Looky, Yonder / Black Betty / Yellow Women's Doorbells",33,3217640,14276.67,23649.65
Ain't Misbehavin',32,654182,2902.61,4808.24
Georgia On My Mind (with Eddie Heywood & His Orchestra) - Take 1,32,1375463,6102.93,10109.65
I Cover the Waterfront,32,2393769,10621.15,17594.20
That's Life I Guess (with Teddy Wilson & His Orchestra) - Take 1,32,484254,2148.63,3559.27
Sleepy Time Gal,32,309777,1374.48,2276.86
Little Jack Frost Get Lost (with Marjorie Hughes) - 78rpm Version,31,1109077,4920.97,8151.72
"Brother, Can You Spare a Dime? (with Lenny Hayton & His Orchestra)",31,936619,4155.78,6884.15
Ma L'Amore No,31,299877,1330.55,2204.10
Yankee Doodle Never Went to Town (feat. Billie Holiday) - Take 1,31,702051,3115.00,5160.07
He Ain't Got Rhythm (with Teddy Wilson & His Orchestra),31,681994,3026.01,5012.66
Manhattan Serenade,30,284335,1261.59,2089.86
Let Your Light Shine on Me,30,800980,3553.95,5887.20
Papa's on the House Top,30,1363295,6048.94,10020.22
Fita Amarela,30,1277441,5668.01,9389.19
There's Frost On The Moon,30,632671,2807.16,4650.13
'Tain't Nobody's Bizness If I Do,29,1013949,4498.89,7452.53
I'm Gettin' Sentimental Over You,29,573390,2544.13,4214.42
The Soul of a Man,29,643658,2855.91,4730.89
Pennies from Heaven (with Teddy Wilson & His Orchestra) - Take 1,29,734251,3257.87,5396.74
When a Woman Loves a Man,29,695698,3086.81,5113.38
Honeysuckle Rose,28,997602,4426.36,7332.37
All My Life - Live,28,679090,3013.12,4991.31
"If I Knew You Were Comin', I'd've Baked a Cake",28,873345,3875.03,6419.09
Getting Some Fun Out of Life,28,869582,3858.34,6391.43
Kind Hearted Woman Blues,28,492416,2184.85,3619.26
"Empty Bed Blues, Pt. 1",27,1159047,5142.69,8519.00
I'm Gonna Sit Right Down and Write Myself a Letter,27,2072004,9193.48,15229.23
Till The Cows Come Home,27,240810,1068.47,1769.95
Shave 'Em Dry II,27,271868,1206.28,1998.23
Them There Eyes,27,1516116,6727.01,11143.45
Send Me to the 'Lectric Chair,26,350592,1555.58,2576.85
Need a Little Sugar in My Bowl,26,827715,3672.57,6083.71
I'm Coming Virginia,26,464768,2062.18,3416.04
Back In Your Own Backyard - Take 2,26,311755,1383.26,2291.40
A Fine Romance - Take 1,26,511836,2271.02,3761.99
The Rumba Dance,25,175489,778.64,1289.84
Things Are Looking Up (with Teddy Wilson & His Orchestra),25,200033,887.55,1470.24
Your Mother's Son-In-Law (with Benny Goodman & His Orchestra),25,359954,1597.12,2645.66
Walkin' Blues,25,751135,3332.79,5520.84
Traveling Riverside Blues - Alternate Take,25,1411876,6264.49,10377.29
Young Woman's Blues,24,160112,710.42,1176.82
